Person fullname,Person email,Person phonenumber,Person position,Organization name,Organization phonenumber,Organization country,Organization city,Organization zip,Organization state,Organization address,Organization website,Deal name,Deal description,Deal pipeline stage,Deal pipeline,Deal Owner Mail Id,Deal start date,Deal deadline,Deal project cost,Deal stage,Deal project currency,Deal lead id,Deal follower mail id,Activity name,Activity tasktype,Activity description,Activity priority,Activity startdate,Activity send reminder,Activity call request id,Activity call code,Activity call msg,Assigned Person Mail Id
lara,lara@gmail.com,8956235692,Manager,Imported org ,9898989901,India,Chennai,600004,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Rezox Remedies - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,29-05-2022,04-06-2022,5003,Won,INR,,rameshraj2320@gmail.com,Call sundar,Call,Type Description,High,29-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
miller,miller@gmail.com,8956235693,Manager,Imported org ,9898989902,India,Chennai,600005,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Precision Coatings Pvt. Ltd - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,30-05-2022,05-06-2022,5004,Won,INR,,rameshraj2321@gmail.com,Call sundar,Call,Type Description,High,30-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
pala saji,pala saji@gmail.com,8956235705,Manager,Imported org ,9898989914,India,Chennai,600017,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,CLINNOVA?EALTH CARE Pvt Ltd - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,31-05-2022,06-06-2022,5016,Won,INR,,rameshraj2322@gmail.com,Call sundar,Call,Type Description,High,31-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
palsamy,palsamy@gmail.com,8956235704,Manager,Imported org ,9898989913,India,Chennai,600016,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"WOVA Pharmaceuticals,chennai- May 2022",Type Description,Demo,Payroll,qc@leadforce.in,01-06-2022,07-06-2022,5015,Won,INR,,rameshraj2323@gmail.com,Call sundar,Call,Type Description,High,01-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
Selva rasu,Selvarasu@gmail.com,8956235689,Manager,Imported org ,9898989898,India,Chennai,600001,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Maypharm Life Science - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,02-06-2022,08-06-2022,5000,Won,INR,,rameshraj2324@gmail.com,Call sundar,Call,Type Description,High,02-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
shaw,shaw@gmail.com,8956235694,Manager,Imported org ,9898989903,India,Chennai,600006,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Medall Diagnostics - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,03-06-2022,09-06-2022,5005,Won,INR,,rameshraj2325@gmail.com,Call sundar,Call,Type Description,High,03-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
Shiva,Shiva@gmail.com,8956235690,Manager,Imported org ,9898989899,India,Chennai,600002,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,CASID PHARMACEUTICALS - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,04-06-2022,10-06-2022,5001,Won,INR,,rameshraj2326@gmail.com,Call sundar,Call,Type Description,High,04-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
thor,thor@gmail.com,8956235697,Manager,Imported org ,9898989906,India,Chennai,600009,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,FOREGEN HEALTHCARE - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,05-06-2022,11-06-2022,5008,Won,INR,,rameshraj2327@gmail.com,Call sundar,Call,Type Description,High,05-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
tonny,tonny@gmail.com,8956235696,Manager,Imported org ,9898989905,India,Chennai,600008,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Sycys Labs Private Limited - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,06-06-2022,12-06-2022,5007,Won,INR,,rameshraj2328@gmail.com,Call sundar,Call,Type Description,High,06-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
veera,veera@gmail.com,8956235703,Manager,Imported org ,9898989912,India,Chennai,600015,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"D-Cure?harmaceuticals Pvt Ltd, Delhi- May 2022",Type Description,Demo,Payroll,qc@leadforce.in,07-06-2022,13-06-2022,5014,Won,INR,,rameshraj2329@gmail.com,Call sundar,Call,Type Description,High,07-06-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
